id,name,adress,tell,"
operating_time",type,representative_menu,lat,lon,score
15189,아리랑,대전광역시 중구 유천2동 328-2,042-587-8255,매일 00:00~24:00 연중무휴,중식,갈비짬뽕,36.316261,127.391027,0
15190,두리네밥도둑 송강신탄진점,대전광역시 유성구 봉산동 226-3,,,한식,,36.43579772,127.3885377,0
15191,설천순대국밥,대전광역시 서구 둔산동 1353,042-482-4801,매일 00:00~24:00,한식,순대국밥,36.3540477,127.3805116,0
15193,삐아체,대전광역시 유성구 전민동 466-3,042-863-3497,,양식,봉골레,36.40000991,127.4057004,0
15194,신탄회센터식당,대전광역시 대덕구 신탄진동 141-9,042-933-8863,,한식,광어 대,36.44969355,127.4310098,0
15195,궁중칼국수 한민점,대전광역시 서구 괴정동 91-29,042-537-8110,매일 09:00~20:30 매주 일요일 휴무,한식,,36.33378837,127.382323,0
15196,가오동 바삭+떡볶이,대전광역시 동구 가오동 615,042-274-4455,매일 15:30~00:30 | 일요일 휴무,분식,떡볶이집,36.3059778,127.4550182,0
15197,피치떡삼총사 유성본점,대전광역시 유성구 봉명동 1024,042-826-5956,매일 09:30~01:30,양식,피자(중)+피자(중),36.35134685,127.3443137,0
15198,가수원아싸대패삼겹살,대전광역시 서구 가수원동 776-1,042-721-9200,매일 17:00~24:00 일요일휴무,한식,대패삼겹살,36.30036461,127.3507597,0
15199,미도리컬러,대전광역시 동구 소제동 299-79,,매일 11:30-22:00 |  21:00 라스트오더,카페·디저트,크림슈페너,36.3363114,127.4367332,0
15200,고기듬뿍꽃돼지+레드웨건,대전광역시 서구 월평동 974,,매일 12:00~00:00 매주 월요일 12:00~19:30,한식,삼겹살(250g)1인세트,36.355461,127.3621039,0
15201,시골밥상이레,대전광역시 서구 도마동 184-15,042-586-1228,,한식,시골밥상,36.31205976,127.3799085,0
15202,고향촌,대전광역시 중구 은행동 138-1,042-252-0719,,한식,가정식백반,36.32926605,127.4254272,0
15203,감탄떡볶이 롯데마트노은점,대전광역시 유성구 하기동 519,,,분식,쌀/밀떡볶이,36.3841989,127.321661,0
15204,부뚜막,대전광역시 중구 사정동 401,,,한식,,36.2963929,127.384849,0
15205,숙이네닭내장탕,대전광역시 중구 문창동 371-1,042-284-8878,,한식,닭내장탕-중,36.31434962,127.4384498,0
15206,김가네돌구이,대전광역시 유성구 송강동 186-1,042-936-5293,매일 11:00~22:00 재료준비 14:00~16:00,한식,생삼겹살,36.433083,127.3865319,0
15208,엄니 40년 전통육개장,대전광역시 중구 부사동 94-61,042-274-5232,,한식,,36.31830064,127.4321258,0
15209,매봉골,대전광역시 서구 갈마동 391-22,042-536-8382,,한식,,36.34399514,127.3668229,0
15210,그집족발,대전광역시 유성구 원내동 79-12,042-544-4449,,한식,,36.30251798,127.3184533,0
15211,낙원칼국수,대전광역시 유성구 신성동 126-26,042-862-1177,매일 11:00~21:00 첫째 셋째 주말 휴무,한식,,36.39047517,127.350148,0
15212,동경참치 유성점,대전광역시 유성구 봉명동 445-16,042-825-3785,매일 12:00~02:00,한식,실장스페셜,36.35540983,127.3398161,0
15213,옥천집,대전광역시 중구 대사동 248-302,042-254-5554,,한식,보신탕,36.3221415,127.4173304,0
15215,나주식당,대전광역시 대덕구 대화동 289-1,042-670-8044,,한식,,36.36531442,127.4029597,0
15216,바다양푼이동태탕 대전오정점,대전광역시 대덕구 오정동 446-5,042-624-9252,,한식,동태탕,36.35083112,127.4186471,0
15217,진잠원조선산곱창,대전광역시 유성구 원내동 228-6,042-544-0504,,한식,곱창전골 1인분,36.3001223,127.3196857,0
15218,무겐돈까스,대전광역시 중구 오류동 171-4,042-673-0301,매일 11:00~20:30 쉬는시간 1500~1700,일식,돈까스+우동,36.32282419,127.4049161,0
15219,쌈꾼,대전광역시 서구 변동 43-9,042-523-3393,매일 10:30~09:30,한식,묵은지갈비김치찌개,36.32319906,127.3846885,0
15220,카페말론,대전광역시 대덕구 송촌동 476-1,,토요일 11:00~22:00 | 금요일 11:00~22:00 | 목요일 11:00~22:00 | 수요일 11:00~22:00 | 화요일 11:00~22:00 | 월요일 11:00~22:00 | 일요일 휴무,카페·디저트,스콘,36.3644599,127.4400197,0
15221,날마다행복오리,대전광역시 대덕구 석봉동 319-9,042-935-9533,,한식,오리주물럭,36.4442405,127.4272233,0
